Date,Open,High,Low,Close,Adj Close,Volume
"May 23, 2017",3220.86,3233.86,3216.18,3222.69,3222.69,210662500
"May 22, 2017",3216.18,3224.25,3208.95,3213.57,3213.57,212161800
"May 19, 2017",3217.84,3226.73,3213.76,3216.92,3216.92,215510700
"May 18, 2017",3192.79,3226.71,3189.7,3221.66,3221.66,248971000
"May 17, 2017",3220.47,3227.26,3207.48,3224.1,3224.1,224418500
"May 16, 2017",3259.14,3259.66,3224.74,3227.71,3227.71,275778200
"May 15, 2017",3262.26,3275.39,3255.2,3264.21,3264.21,313582100
"May 12, 2017",3267.97,3272.02,3253.54,3255.29,3255.29,305352200
"May 11, 2017",3261.08,3274.33,3257.42,3271.11,3271.11,343590900
"May 09, 2017",3247.41,3250.26,3237.69,3249.97,3249.97,228189900
"May 08, 2017",3240.44,3240.44,3226.06,3236.98,3236.98,283245900
"May 05, 2017",3228.27,3235.97,3214.87,3229.73,3229.73,223198600
"May 04, 2017",3236.14,3239.76,3218.41,3228.62,3228.62,229263000
"May 03, 2017",3224.21,3238.94,3221.75,3237.81,3237.81,166453900
"May 02, 2017",3183.43,3212.27,3183.41,3211.11,3211.11,254871500
"Apr 28, 2017",3172.91,3183.18,3170.14,3175.44,3175.44,301053800
"Apr 27, 2017",3172.84,3182.11,3164.54,3171.36,3171.36,212986900
"Apr 26, 2017",3164.12,3176.79,3161.99,3173.76,3173.76,261334100
"Apr 25, 2017",3145.26,3167.22,3143.22,3163.93,3163.93,250318600
"Apr 24, 2017",3156.89,3156.89,3129.26,3144.03,3144.03,211583200
"Apr 21, 2017",3150.09,3156.03,3138.93,3139.83,3139.83,207186200
"Apr 20, 2017",3119.92,3144.05,3117.97,3137.88,3137.88,234169000
"Apr 19, 2017",3129.74,3129.87,3113.9,3126.28,3126.28,254035100
"Apr 18, 2017",3159.88,3162.58,3134.28,3137.54,3137.54,183660900
"Apr 17, 2017",3159.19,3160.14,3136.93,3138.3,3138.3,149007400
"Apr 13, 2017",3162.52,3176.63,3160.28,3169.24,3169.24,172474100
"Apr 12, 2017",3170.58,3186.5,3165.22,3186.01,3186.01,314923600
"Apr 11, 2017",3180.02,3186.46,3164.21,3174.75,3174.75,218444800
"Apr 10, 2017",3177.27,3182.44,3170.18,3181.45,3181.45,204258400
"Apr 07, 2017",3171.22,3177.27,3144.5,3177.27,3177.27,222275900
"Apr 06, 2017",3167.6,3175.59,3157.36,3175.59,3175.59,193155100
"Apr 05, 2017",3176.91,3182.44,3157.03,3176.55,3176.55,234762300
"Apr 04, 2017",3182.32,3189.81,3175.15,3179.06,3179.06,193642700
"Apr 03, 2017",3180.27,3188.17,3179.62,3187.51,3187.51,272954600
"Mar 31, 2017",3172.06,3181.61,3171.49,3175.11,3175.11,310379200
"Mar 30, 2017",3184.44,3187.44,3168.27,3173.24,3173.24,198798300
"Mar 29, 2017",3166.77,3188.02,3166.21,3184.57,3184.57,223074100
"Mar 28, 2017",3139.8,3158.97,3139.04,3157.82,3157.82,215766700
